Sample,Detector,Ct
Dc1_Sep_D,ACTIN,23.6189909
Dc1_Sep_D,ACTIN,23.5458788
Dc1_Sep_D,ACTIN,23.57544264
Dc1_Sep_U,ACTIN,23.50707933
Dc1_Sep_U,ACTIN,23.45847549
Dc1_Sep_U,ACTIN,23.30097298
Dc1_Pet_D,ACTIN,24.2300097
Dc1_Pet_D,ACTIN,24.00777718
Dc1_Pet_D,ACTIN,24.06940819
Dc1_Pet_U,ACTIN,23.18879713
Dc1_Pet_U,ACTIN,23.1172271
Dc1_Pet_U,ACTIN,23.07820175
Dc1_Sep_D,AG6-1,21.13365287
Dc1_Sep_D,AG6-1,20.98979138
Dc1_Sep_D,AG6-1,21.11509999
Dc1_Sep_U,AG6-1,21.98314661
Dc1_Sep_U,AG6-1,21.93416836
Dc1_Sep_U,AG6-1,21.93476943
Dc1_Pet_D,AG6-1,23.27986777
Dc1_Pet_D,AG6-1,23.32889333
Dc1_Pet_D,AG6-1,23.17067998
Dc1_Pet_U,AG6-1,22.98765468
Dc1_Pet_U,AG6-1,22.93520333
Dc1_Pet_U,AG6-1,22.91654982
Dc1_Sep_D,AG6-2,27.28365223
Dc1_Sep_D,AG6-2,27.14393276
Dc1_Sep_D,AG6-2,26.97035778
Dc1_Sep_U,AG6-2,22.91068363
Dc1_Sep_U,AG6-2,22.93679835
Dc1_Sep_U,AG6-2,22.94096427
Dc1_Pet_D,AG6-2,33.64486264
Dc1_Pet_D,AG6-2,32.72429121
Dc1_Pet_D,AG6-2,32.60181833
Dc1_Pet_U,AG6-2,33.19761273
Dc1_Pet_U,AG6-2,32.49790698
Dc1_Pet_U,AG6-2,32.51893252
Dc1_Sep_D,AP3-1,20.11077188
Dc1_Sep_D,AP3-1,20.15455753
Dc1_Sep_D,AP3-1,20.15177704
Dc1_Sep_U,AP3-1,19.44136383
Dc1_Sep_U,AP3-1,19.57963389
Dc1_Sep_U,AP3-1,19.55689992
Dc1_Pet_D,AP3-1,19.70635767
Dc1_Pet_D,AP3-1,19.83965508
Dc1_Pet_D,AP3-1,19.77576066
Dc1_Pet_U,AP3-1,19.49757648
Dc1_Pet_U,AP3-1,19.56727274
Dc1_Pet_U,AP3-1,19.48639723
Dc1_Sep_D,AP3-2,28.53305187
Dc1_Sep_D,AP3-2,28.43239353
Dc1_Sep_D,AP3-2,28.55729196
Dc1_Sep_U,AP3-2,26.49892967
Dc1_Sep_U,AP3-2,26.5656638
Dc1_Sep_U,AP3-2,26.18165952
Dc1_Pet_D,AP3-2,21.72341114
Dc1_Pet_D,AP3-2,21.67759694
Dc1_Pet_D,AP3-2,21.61426249
Dc1_Pet_U,AP3-2,20.76950317
Dc1_Pet_U,AP3-2,20.80686701
Dc1_Pet_U,AP3-2,20.69102319
Dc1_Sep_D,AP3-4,22.65830175
Dc1_Sep_D,AP3-4,22.57776336
Dc1_Sep_D,AP3-4,22.62708761
Dc1_Sep_U,AP3-4,22.95126241
Dc1_Sep_U,AP3-4,23.02308934
Dc1_Sep_U,AP3-4,23.11232935
Dc1_Pet_D,AP3-4,21.18080707
Dc1_Pet_D,AP3-4,21.13857278
Dc1_Pet_D,AP3-4,21.24762216
Dc1_Pet_U,AP3-4,20.97311943
Dc1_Pet_U,AP3-4,20.97090935
Dc1_Pet_U,AP3-4,21.01491048
